CRS_DPT_CD,CRS_NO,CRS_MIN_CDT,CRS_MAX_CDT,CRS_CREDITVARIABLE,CRS_SHORTTITLE,CRS_LONGTITLE,CRS_DESCRIPTION,CRS_STARTTERM,CRS_ENDTERM,CRS_CREDITVECTOR,ADMIN_CAMPUS_CD,CRS_LEVEL,CRS_GRADE_TYPE,CRS_CRSE_TYP_CD,Pre-requisites,Core-requisites,CRS_DUPLICATES,CRS_DUPLNOTE,CRS_CRSE_REF_CD,CRS_FACL_APPR_DT,CRS_SNTE_APPR_DT,SEC_SES
ARTH,448,3.0,3.0,,NOR AMER ARCH,Seminar in North American Architecture,,2003S,,,UBC,U,PCNT,ACAD,,,,,, 10/28/2002, 12/09/2002,2018W
ARTH,450,3.0,3.0,,ART ISLMC WRLD,Seminar in Art in the Islamic World,Key debates in the field of art and architecture in the Islamic World.,2016W,,,UBC,U,PCNT,ACAD,,,,,, 03/01/2016, 05/02/2016,2018W
ARTH,476,3.0,3.0,,N AMER ABOR ART,Seminar in North American Aboriginal Art,,2004S,,,UBC,U,PCNT,ACAD,,,ARTH469,,, 01/30/2004, 01/30/2004,2018W
ARTH,479,3.0,3.0,,PRF ACT & APPRCH,Performance Actions and Approaches,Advanced performance art practices and research methodologies.,2016W,,,UBC,U,PCNT,ACAD,,,VISA479,,, 03/01/2016, 05/02/2016,2018W
ARTH,480,3.0,3.0,,VIS&DIG MEDIA TH,Visual and Digital Media Theory,"A thematic examination of key arguments in visual and digital media theory, focusing on developments in lens-based and digital media in relationship to twentieth-century and contemporary artistic practice.",2014S,,,UBC,U,PCNT,ACAD,,,,,, 12/03/2013, 02/19/2014,2018W
ARTH,490,3.0,3.0,,ARTH INTERNSHIP,Art History Internship,,2014W,,,UBC,U,PCNT,ACAD,ARTH 300. (and departmental approval. Interested students may contact the department for details on how to proceed.),,,,, 02/13/2014, 05/14/2014,2018W
ARTH,499,6.0,6.0,,HONOURS ESSAY,Honours Essay,,2003S,,,UBC,U,PCNT,ACAD,,,,,, 10/28/2002, 12/09/2002,2018W
ARTH,540,3.0,6.0,d,20th CENT ART,Studies in 20th Century Art,,2005W,,,UBC,G,PCNT,ACAD,,,,,, 03/03/2005, 03/03/2005,2018W
ARTH,550,3.0,3.0,,ART IN ISLMC WRL,Studies in Art in the Islamic World,,2016W,,,UBC,G,PCNT,ACAD,,,,,, 03/01/2016, 05/02/2016,2018W
ARTH,551,3.0,6.0,d,CHN ART,Studies in Chinese Art,,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/09/2002,2018W
ARTH,553,3.0,6.0,d,JAPANESE ART,Studies in Japanese Art,,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/11/2002,2018W
ARTH,555,3.0,6.0,d,SE ASIAN ART,Studies in South and Southeast Asian Art,,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/11/2002,2018W
ARTH,561,3.0,6.0,d,AMER INDIG ART,Studies in the Indigenous Arts of the Americas,,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/11/2002,2018W
ARTH,571,6.0,6.0,,METH ART HIST,The Methodology of Art History,Required of all art history graduate students.,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/11/2002,2018W
ARTH,577,3.0,6.0,c,DIR READING,Directed Reading,,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/11/2002,2018W
ARTH,599,6.0,6.0,,MASTER'S THESIS,Master's Thesis,,2003S,,,UBC,G,PCNT,ACAD,,,,,, 10/28/2002, 12/11/2002,2018W
ARTH,649,0,0,,DOC DISSERTATION,Doctoral Dissertation,,2007W,,,UBC,G,PASS,ACAD,,,,,, 05/10/2007, 05/10/2007,2018W
ARTS,1,18.0,18.0,,ARTS ONE,Arts One,,2010W,,,UBC,U,PCNT,ACAD,,,,,, 04/20/2010, 04/20/2010,2018W
ASIA,100,3.0,3.0,,INTR TRDTL ASIA,Introduction to Traditional Asia,"A survey of the histories and cultures of Asia before 1600 and the coming of the Europeans. Emphasis will be given to parallel themes in the development of the civilizations of South, Southeast and East Asia.",2018W,,,UBC,U,PCNT,ACAD,,,,,, 02/21/2018, 07/10/2018,2018W
ASIA,101,3.0,3.0,,INTR MODERN ASIA,Introduction to Modern Asia,"A survey of the emergence of modern Asia. Aims at an understanding of how the various peoples of Asia have maintained distinctive cultural identities despite centuries of political, economic, social and cultural change.",2018W,,,UBC,U,PCNT,ACAD,,,,,, 02/21/2018, 07/10/2018,2018W
ASIA,200,3.0,3.0,,CULT FNDT E ASIA,Cultural Foundations of East Asia,"A comparative survey of the beliefs, assumptions and values which have shaped the civilizations of East Asia in both traditional and modern times.",2017S,,,UBC,U,PCNT,ACAD,,,,,, 10/20/2016, 01/19/2017,2018W
ASIA,204,6.0,6.0,,INTRO ASIAN RELG,Introduction to Asian Religions,"The religions of India, China, and Japan in their interactions and cultural contexts, including Hinduism, Buddhism, Jainism, Sikhism, Taoism, Confucianism, and Shinto.",2005W,,,UBC,U,PCNT,ACAD,,,RELG204,,, 04/19/2006, 04/19/2006,2018W
ASIA,208,3.0,3.0,,CULT FNDT S ASIA,Cultural Foundations of South Asia,"A survey of South Asian cultures, including language and literature, art, religion, polity and society, as they developed in the past and have been transformed in the modern period.",2017W,,,UBC,U,PCNT,ACAD,,,,,, 04/20/2017, 06/29/2017,2018W
ASIA,211,3.0,3.0,,SEX ETH ASIA REL,"Sex, Sexual Ethics, and Asian Religions","Sex and sexual ethics in the scriptures, monastic rules, rituals, and narratives of Asian religions, such as Sikhism, Hinduism, Buddhism, and Confucianism.",2011W,,,UBC,U,PCNT,ACAD,,,,,, 10/26/2010, 12/14/2011,2018W
ASIA,250,3.0,3.0,,INTRO BUDDHISM,Introduction to Buddhism,"Origins, basic teachings, development of Theravada, Mahayana, and Tantric traditions, historical spread first through Asia and later the world, and Buddhism in contemporary societies.",2006W,,,UBC,U,PCNT,ACAD,,,,,, 04/19/2006, 04/19/2006,2018W
ASIA,254,3.0,3.0,,JPN SEX&GEND FLM,"Sex, Gender, and Sexuality in Japanese Literature and Film","The integral role that sex, gender, and sexuality play in literary and cinematic works from Japan. Literary works will be read in translation, movies will be subtitled.",2011W,,,UBC,U,PCNT,ACAD,,,,,, 02/10/2011, 05/17/2011,2018W
ASIA,258,3.0,3.0,,RELIGION S ASIA,Religion in South Asia,"The major religious traditions of South Asia, including Hinduism, Islam, Sikhism, and Buddhism; the significance of religious thought and practice in premodern India, as well as the continuing impact of religion in today's globalized South Asia.",2009W,,,UBC,U,PCNT,ACAD,,,,,, 04/01/2009, 01/20/2010,2018W
ASIA,270,3.0,6.0,d,CHINA WORLD HIST,China in World History,"The history of China in a global context, from the earliest times to the most recent past; how China has changed the world and how engagement with the world has changed China.",2015S,,,UBC,U,PCNT,ACAD,,,HIST270,,, 01/07/2015, 01/07/2015,2018W
ASIA,300,3.0,3.0,,WRTG&CULT E ASIA,Writing and Culture in East Asia,"Practical, aesthetic, historical, technological and political issues pertaining to the use of Chinese characters - hanzi (Chinese), kanji (Japanese), or hanccha (Korean) - throughout the region.",2013W,,,UBC,U,PCNT,ACAD,,,,,, 02/12/2013, 02/26/2013,2018W
ASIA,301,3.0,3.0,,BDHSM MDRN ERA,Buddhism in the Modern Era,"Buddhism from the nineteenth century to present day with special emphasis on its history and character in local settings, including specific traditions such as Tibetan Nyingma and Japanese Zen, as well as the development of a modern and global ""Buddhism.""",2016W,,,UBC,U,PCNT,ACAD,,,,,, 03/01/2016, 05/02/2016,2018W
ASIA,302,3.0,3.0,,THRVADA BUDDHISM,Theravada Buddhism,"History, story, and culture of the major form of Buddhism primarily focused on the regions of Sri Lanka, and mainland Southeast Asia, including southern Vietnam, parts of southern China, spread to Nepal, and modern global diffusion.",2016W,,,UBC,U,PCNT,ACAD,,,,,, 01/21/2016, 03/16/2016,2018W
ASIA,303,3.0,3.0,,MAHAYANA BUDDHSM,Mahayana Buddhism,Historical and philosophical development of Mahayana Buddhism.,2016W,,,UBC,U,PCNT,ACAD,,,,,, 03/01/2016, 05/02/2016,2018W
ASIA,304,3.0,3.0,,S&SE PERFOR ARTS,Survey of South and Southeast Asian Performing Arts,"An historical perspective of the performing arts of South and Southeast Asia, highlighting the role of music, dance, and the dramatic arts in the lives of actors and audiences.  Option to complete a practicum performance.",2014W,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 05/14/2014,2018W
ASIA,305,3.0,3.0,,ASIAN HORR CINEM,Asian Horror Cinema: National Nightmares and Specters of Trauma,"Engaging with the ideologies, industrial histories, socio-cultural contexts, and aesthetics of horror films - and the genre itself - from various Asian cinemas.",2014S,,,UBC,U,PCNT,ACAD,,,,,, 10/15/2013, 12/18/2013,2018W
ASIA,306,3.0,3.0,,ESOTERC BUDDHSM,Esoteric Buddhism,"Overview of Buddhism's rich and complex esoteric traditions in the Himalayan region and South, Southeast, and East Asia, with particular emphasis on texts, commentaries, and practices from a variety of traditions, locales and time periods.",2016W,,,UBC,U,PCNT,ACAD,,,,,, 03/01/2016, 05/02/2016,2018W
ASIA,307,3.0,3.0,,KOREAN LANG&WRIT,Korean Language and Writing in Culture and Society,"An examination of Korean language and writing using approaches from sociolinguistics, the sociology of language, and linguistic anthropology.",2009W,,,UBC,U,PCNT,ACAD,,,,,, 10/28/2008, 05/13/2009,2018W
ASIA,308,3.0,3.0,,MYTH RIT&EPIC,"Myth, Ritual and Epic in Ancient India","Myths of creation Gods and goddesses of the Vedic pantheon. Connections with myths in other parts of the world, particularly in the Indo-European tradition. Literary representations of the myths.",2010W,,,UBC,U,PCNT,ACAD,,,,,, 02/09/2010, 03/24/2010,2018W
ASIA,309,3.0,3.0,,S ASIANS BEYOND,South Asian Beyond South Asia,"A history of South Asian peoples and communities that emigrated overseas, including Indo-Canadians.",1998S,,,UBC,U,PCNT,ACAD,,,,,, 10/14/1997, 01/21/1998,2018W
ASIA,310,3.0,6.0,d,STDS HIST MAJ AS,Studies in the History of a Major Asian Civilization,Study of an Asian culture area different from those covered in existing courses. Not given every year. Consult Department for details. May be taken multiple times on different subjects for credit.,2006W,,,UBC,U,PCNT,ACAD,,,,,, 11/24/2006, 11/24/2006,2018W
ASIA,311,3.0,3.0,,TIBETAN BUDDHISM,Tibetan Buddhism,"Religious terrain of the Tibetan cultural realm, looking at the history and development of Tibetan Buddhism and key ideas of the four main Tibetan Buddhist traditions.",2017S,,,UBC,U,PCNT,ACAD,,,,,, 11/29/2016, 02/07/2017,2018W
ASIA,313,3.0,3.0,,TBTN HMLYN CULT,Tibetan and Himalayan Culture and Society,"History and culture of the Himalayan regions, including India, China, Tibet, Nepal, and Bhutan.",2017S,,,UBC,U,PCNT,ACAD,,,,,, 11/29/2016, 02/07/2017,2018W
ASIA,314,3.0,3.0,,PREMODERN JAPAN,Premodern Japan,"Japanese history (political, economic, social and cultural) to 1600.",2002W,,,UBC,U,PCNT,ACAD,,,,,,,,2018W
ASIA,315,3.0,3.0,,JAPN FDL TO MOD,Japan from Feudal to Modern State,"Japanese history from 1600 to the Meiji Restoration. Political, economic, social and cultural forces which were involved in transforming Japan.",2002W,,,UBC,U,PCNT,ACAD,,,,,,,,2018W
ASIA,316,3.0,3.0,,R&E JPN LIT FILM,Race and Ethnicity in Japanese Literature and Film,"Examines relations between majority and minority groups in Japanese society and changing definitions of ""Japan"" through literature and film from Japan.",2014S,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 04/16/2014,2018W
ASIA,317,3.0,3.0,,RISE KOREAN CIVL,The Rise of Korean Civilization,"The evolution of a distinctive Korean civilization within the East Asian cultural sphere. Primary focus on cultural, social and political development from the earliest times to the sixteenth century.",1998S,,,UBC,U,PCNT,ACAD,,,,,, 10/14/1997, 01/21/1998,2018W
ASIA,318,3.0,3.0,,PREMODERN INDIA,Premodern India,"A survey of the history and culture of India from the earliest historic period to 1200 and the coming of Islam, with emphasis on the evolution of classical Hindu civilization.",1998S,,,UBC,U,PCNT,ACAD,,,,,, 10/14/1997, 01/21/1998,2018W
ASIA,320,3.0,3.0,,HIST EARLY CHINA,History of Early China,History of China from the earliest times to the disintegration of the Tang empire. Students will acquire the analytical skills and tools to understand the origins and foundations of Chinese society.,2007W,,,UBC,U,PCNT,ACAD,,,HIST378,,, 11/24/2006, 11/24/2006,2018W
ASIA,323,3.0,3.0,,HIST CANTO WORLD,History of Cantonese Worlds,"The history, culture, languages, and identities of the multi-faceted Cantonese worlds, in the context of Chinese history and the Cantonese diaspora.",2018W,,,UBC,U,PCNT,ACAD,,,HIST 377,,, 10/16/2017, 02/05/2018,2018W
ASIA,324,3.0,3.0,,LIT OF HONG KONG,Literature of Hong Kong,"A survey of the literature of Hong Kong, from classical times to the present. Important periods in literary history (imperial, colonial, post-colonial), major authors (locals, visitors, and writers elsewhere), and important genres, including poetry, essays, and fiction.",2014S,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 04/16/2014,2018W
ASIA,325,3.0,3.0,,HONG KONG CINEMA,Hong Kong Cinema,"A survey of the cinema of Hong Kong from the post-war period to the present. The influence of Hong Kong on global cinema, and the forces (artists, studios, audiences, etc.) that have given rise to filmmaking styles and genres perceived as ""distinctively Hong Kong.""",2014S,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 04/16/2014,2018W
ASIA,326,3.0,3.0,,MANGA & ANIME,Critical Approaches to Manga and Anime,A critical introduction to Japanese manga and anime in the 20th and 21st centuries.,2013S,,,UBC,U,PCNT,ACAD,,,,,, 10/16/2012, 02/13/2013,2018W
ASIA,327,3.0,3.0,,KRN POPULR MUSIC,Korean Popular Music in Context,"History, contexts, and the genres of Korean popular music. Students will analyze specific artists and songs using a range of approaches. While an understanding of basic concepts of music will be helpful, no previous exposure to ethnomusicology or music performance is required.",2016W,,,UBC,U,PCNT,ACAD,,,,,, 01/21/2016, 03/16/2016,2018W
ASIA,330,3.0,3.0,,ISLAM IN S.ASIA,Islam in South Asia,Islam as a transnational phenomenon with specific reference to its South Asian forms.,2011W,,,UBC,U,PCNT,ACAD,,,,,, 02/10/2011, 05/17/2011,2018W
ASIA,332,3.0,3.0,,CONFUCIAN CHINA,Confucianism in China and Beyond: Reinventions of Tradition,Key ideas and trends in Confucian thought and practice from its origins to modern times through primary sources in translation and secondary scholarship.,2013W,,,UBC,U,PCNT,ACAD,,,,,, 02/12/2013, 04/17/2013,2018W
ASIA,333,3.0,3.0,,STH ASN GNDR SEX,Contemporary South Asian Gender and Sexuality Studies,"Main theories and key concepts with a particular focus on the changing status of women, and gender and sexual minorities.",2017S,,,UBC,U,PCNT,ACAD,,,,,, 10/20/2016, 02/01/2017,2018W
ASIA,337,3.0,3.0,,KORN PPL MOD TMS,The Korean People in Modern Times (1600 to the present),"The transformation of Korea from a Confucian state into an industrial nation. The rise of nationalism and modern ideologies in Korea. Cultural, social and economic changes Korea has undergone as it has entered the modern world.",1998S,,,UBC,U,PCNT,ACAD,,,,,, 10/14/1997, 01/21/1998,2018W
ASIA,338,3.0,3.0,,MDRN IND CON-RAJ,Modern India: From Conquest to Raj,The history of India from the coming of the Europeans to the rise of the nationalist movement with emphasis on the social and economic impact of British imperialism.,2014S,,,UBC,U,PCNT,ACAD,,,,,, 10/15/2013, 11/21/2013,2018W
