CRS_DPT_CD,CRS_NO,CRS_MIN_CDT,CRS_MAX_CDT,CRS_CREDITVARIABLE,CRS_SHORTTITLE,CRS_LONGTITLE,CRS_DESCRIPTION,CRS_STARTTERM,CRS_ENDTERM,CRS_CREDITVECTOR,ADMIN_CAMPUS_CD,CRS_LEVEL,CRS_GRADE_TYPE,CRS_CRSE_TYP_CD,Pre-requisites,Core-requisites,CRS_DUPLICATES,CRS_DUPLNOTE,CRS_CRSE_REF_CD,CRS_FACL_APPR_DT,CRS_SNTE_APPR_DT,SEC_SES
AANB,500,3.0,3.0,,GRADUATE SEMINAR,Graduate Seminar,Participation in this course is compulsory for all graduate students in Applied Animal Biology.,2013W,,[2-0],UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,504,3.0,3.0,,RSRCH METHDLGY,Research Methodology in Applied Animal Biology,,2013W,,,UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,515,3.0,3.0,,ANML WELFR & ETH,Animal Welfare and Animal Ethics,"Credit will be granted for only one of APBI 315, ANSC 515, or AANB 515.",2013W,,,UBC,G,PCNT,ACAD, (Standing as a graduate student.),,,,, 03/25/2013, 04/19/2013,2018W
AANB,530,2.0,6.0,c,DIRECTED STUDIES,Directed Studies,,2013W,,,UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,549,12.0,18.0,c,MASTERS THESIS,Master's Thesis,,2013W,,,UBC,G,PASS,ACAD,,,,,, 03/25/2013, 05/31/2013,2018W
AANB,550,3.0,3.0,,TPC ANML WELFARE,Topics in Animal Welfare,,2013W,,,UBC,G,PCNT,ACAD,,APBI 315.,,,, 03/25/2013, 04/19/2013,2018W
AANB,551,3.0,3.0,,ANML WELF RSRCH,Tutorials in Animal Welfare Research,,2013W,,,UBC,G,PCNT,ACAD,,,,,, 03/25/2013, 04/19/2013,2018W
AANB,649,0,0,,DOCTORAL DISSERT,Doctoral Dissertation,,2013W,,,UBC,G,PASS,ACAD,,,,,, 03/25/2013, 05/31/2013,2018W
ACAM,250,3.0,3.0,,ASN CDN POP CULT,Asian Canadians in Popular Culture,"Popular culture's role in the production of Asian Canadian and diasporic communities, with emphasis on race, gender, sexuality, and other identity categories.",2018W,,,UBC,U,PCNT,ACAD,,,,,, 12/14/2017, 02/05/2018,2018W
ACAM,350,3.0,3.0,,ASIAN CAN MEDIA,Asian Canadian Community-Based Media,"Digital media production in the context of community engagement. Includes critical media literacy, community-based research ethics, project design, training in media forms such audio, video, photography, and web publishing.",2016W,,,UBC,U,PCNT,ACAD,,,,,, 05/05/2016, 07/18/2016,2018W
ACAM,447,3.0,6.0,c,DIRCTD STDY ACAM,Directed Studies in Asian Canadian and Asian Migration,General reading and/or a research undertaking within the scope of Asian Canadian and Asian Migration.,2017W,,,UBC,U,PCNT,ACAD, (Permission of the Chair of the ACAM program.),,,,, 02/14/2017, 05/17/2017,2018W
ADHE,327,3.0,3.0,,TEACH ADULT,Teaching Adults,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",2002W,,[3-0-0],UBC,U,PCNT,ACAD,,,ADED327,,, 12/03/2002, 12/13/2002,2018W
ADHE,328,3.0,3.0,,INST ADUL EDUC,Institutions of Adult Education,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",2002W,,[3-0-0],UBC,U,PCNT,ACAD,,,ADED328,,, 12/03/2002, 12/13/2002,2018W
ADHE,329,3.0,3.0,,DEV WKSHP/SEM,"Developing Short Courses, Workshops and Seminars","Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",2002W,,[3-0-0],UBC,U,PCNT,ACAD,,,ADED329,,, 12/03/2002, 12/13/2002,2018W
ADHE,330,3.0,3.0,,COM ADULT EDUC,The Community Practice of Adult Education,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",2002W,,[2-3-0],UBC,U,PCNT,ACAD,,,ADED330,,, 12/03/2002, 12/13/2002,2018W
ADHE,412,3.0,3.0,,ADUL EDUC,An Overview of Adult Education,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",2004W,,[3-0-0; 3-0-0],UBC,U,PCNT,ACAD,,,ADED412,,, 12/20/2004, 12/20/2004,2018W
AFST,250,3.0,6.0,d,INTRO AFRI STUDY,Introduction to African Studies,"Cultural, historical, and geographical issues of African Studies.",2009W,,,UBC,U,PCNT,ACAD,,,,,, 10/07/2008, 05/13/2009,2018W
AFST,351,3.0,6.0,d,PRSPCTV: LIT&THR,Perspectives in African Studies: Literary and Theoretical Approaches,Major issues and theoretical approaches.,2009W,,,UBC,U,PCNT,ACAD,,AFST 250. (Credit will not be given for both AFST 350 and 351),,,, 06/15/2009, 10/27/2009,2018W
AFST,352,3.0,6.0,d,PRSPCTV: SOC SCI,Perspectives in African Studies: A Social Science Approach,Major issues and theoretical approaches.,2009W,,,UBC,U,PCNT,ACAD,,AFST 250. (Credit will not be given for both AFST 350 and 352),,,, 06/15/2009, 10/27/2009,2018W
AFST,450,3.0,6.0,d,DIASPORIC CULTUR,African Diasporic Culture in African Canadian Communities,"African diasporic culture in Canadian society, fostering dialogue with members of African Canadian communities on cultural values, traditions, memory, adaptation and change.",2011W,,,UBC,U,PCNT,ACAD,,,,,, 02/10/2011, 05/17/2011,2018W
AGEC,530,2.0,6.0,c,DIRECTED STUDIES,Directed Studies,,2002W,,,UBC,G,PCNT,ACAD,,,,,, 04/12/2002, 04/12/2002,2018W
AGEC,549,12.0,12.0,,MASTERS THESIS,Master's Thesis,,2003W,,,UBC,G,PASS,ACAD,,,,,, 01/30/2004, 01/30/2004,2018W
ANAT,392,4.0,4.0,,GROSS ANAT LIMBS,Gross Anatomy of the Limbs and Trunk,Lectures and laboratory sessions on the human gross and functional anatomy of the limbs and trunk. The course includes the study of predissected specimens. For credit only in the Department of Physical Therapy.,2008W,,,UBC,U,PCNT,ACAD,,,,,, 01/31/2008, 01/31/2008,2018W
ANAT,448,1.0,6.0,d,DIRECTED STUDIES,Directed Studies in Anatomy,Permission of the Head and supervisor required.,1996W,,,UBC,U,PCNT,ACAD,,,,,, 01/17/1996, 01/18/1996,2018W
ANAT,502,8.0,8.0,,MICROSCOPIC ANAT,Microscopic Anatomy,The microscopic anatomy of tissues and organs in man.,1991S,,,UBC,G,PCNT,ACAD,ANAT401,,,,, 01/01/1970, 01/01/1970,2018W
ANAT,504,3.0,3.0,,CELL STRUC&FUNCT,Cell Structure and Function,Seminar discussions of current topics in vertebrate cell biology.,1991S,,,UBC,G,PCNT,ACAD,,,,,, 03/01/1986, 05/01/1986,2018W
ANAT,511,3.0,3.0,,FND BDY DSGN:BSC,Fundamentals of Body Design: Basic Principles in Human Anatomy as Illustrated by the Organization of the Back and Upper Limb,,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,512,3.0,3.0,,FNC HMN ANT H&N,Functional Human Anatomy of Head and Neck Systems,,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,513,3.0,3.0,,FNC HMN ANT RC&G,"Functional Human Anatomy of the Respiratory, Cardiovascular and Gastrointestinal Systems of the Thorax and Abdomen",,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,514,3.0,3.0,,FNC HMN ANT URO,Functional Human Anatomy of the Urogenital Systems: Pelvis and Perineum,,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,515,3.0,3.0,,FNC HMN ANT MUSC,"Functional Human Anatomy of the Musculoskeletal Systems: Back, Limbs and Joints",,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,516,3.0,3.0,,FNC HMN NEUR:CNS,Functional Human Neuroanatomy: Central Nervous System,,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,517,3.0,3.0,,FNC HMN MCRO:ANT,"Functional Human Microscopic Anatomy: Basic Tissues, Organs and Systems",,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,527,3.0,3.0,,MUSCLE BIOPHYSCS,Muscle Biophysics,Selected topics in muscle contraction at an advanced level Permission of Head required.,1991S,,,UBC,G,PCNT,ACAD,,,PHYL530 (1982W),,, 12/01/1982, 12/01/1982,2018W
ANAT,548,2.0,6.0,c,DIRECTED STUDIES,Directed Studies in Anatomy & Cell Biology,,1991S,,,UBC,G,PCNT,ACAD,,,,,, 01/01/1970, 01/01/1970,2018W
ANAT,549,12.0,12.0,,MSC THESIS,M.Sc. Thesis,,2004W,,,UBC,G,PASS,ACAD,,,,,, 03/19/2004, 05/11/2004,2018W
ANAT,550,3.0,3.0,,MORPHOLGCAL SCIE,Current Topics in the Morphological Sciences,"Lectures, demonstrations, discussions and student seminars on selected and current topics in cell biology and the anatomical sciences. Attendance is required of all M.Sc. and Ph.D. students in Anatomy & Cell Biology.",1997W,,[1-0-0],UBC,G,PASS,ACAD, (Students must be registered in graduate-level studies in Anatomy & Cell Biology.),,,,, 05/20/1997, 05/21/1997,2018W
ANAT,590,6.0,6.0,,INTR FNC HMN ANT,"Introduction to Functional Human Anatomy: Survey of Microscopic Anatomy, Neuroanatomy and Gross Anatomy",,1998S,,,UBC,G,PCNT,ACAD,,,,,, 03/05/1998, 05/20/1998,2018W
ANAT,649,0,0,,DOC DISSERTATION,Doctoral Dissertation,,2007W,,,UBC,G,PASS,ACAD,,,,,, 05/10/2007, 05/10/2007,2018W
ANSC,549,12.0,18.0,c,MASTERS THESIS,Master's Thesis,,2009W,2018W,,UBC,G,PASS,ACAD,,,,,, 12/11/2008, 04/15/2009,2018W
ANSC,649,0,0,,DOC DISSERTATION,Doctoral Dissertation,,2007W,2018W,,UBC,G,PASS,ACAD,,,,,, 05/10/2007, 05/10/2007,2018W
ANTH,100,3.0,4.0,d,INTRO CULT ANTH,Introduction to Cultural Anthropology,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",2011W,,,UBC,U,PCNT,ACAD,,,,,, 02/03/2011, 03/09/2011,2018W
ANTH,202,3.0,6.0,d,ANTH CON SOC PRB,Contemporary Social Problems,"Cultural background to contemporary events; problems of nationalism and regional conflicts, economic and social development, gender, religion and social change. Course may stress a different region of the world in different years.",2003W,,,UBC,U,PCNT,ACAD,,,,,, 10/26/2003, 10/26/2003,2018W
ANTH,210,3.0,3.0,,EATING CULTURE,Eating Culture,"An anthropological exploration of how the collection, cultivation and consumption of food shapes human society and culture.",2015W,,,UBC,U,PCNT,ACAD,,,,,, 01/07/2015, 02/18/2015,2018W
ANTH,213,3.0,3.0,,SEX GNDR CULTURE,"Sex, Gender, and Culture",An anthropological exploration of how understandings of sex and gender are culturally and historically shaped.,2014W,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 03/08/2014,2018W
ANTH,215,3.0,3.0,,JAPN POP CULTURE,Japanese Popular Culture,"Television shows, dramas, movies, advertising, marketing, manga (Japanese style ""comics""), anime (Japanese animation), theatrical forms, popular literature, popular music, fashion fads, tourism, toys, and sports.",2010W,,,UBC,U,PCNT,ACAD,,,,,, 02/09/2010, 05/12/2010,2018W
ANTH,217,3.0,3.0,,CULTURE & COMMNC,Culture and Communication,"The study of communication; the relation between communication and its cultural context with emphasis on verbal and non-verbal communication, cross-cultural communication, and cultural differences in the use of oral, literate, and electronic media.",1998W,,,UBC,U,PCNT,ACAD,,,,,, 11/25/1998, 11/25/1998,2018W
ANTH,220,3.0,3.0,,FIRST NATIONS BC,First Nations of British Columbia,"The cultures, languages, and resources of First Nations, with anthropological perspectives on colonization and development.",2009W,,,UBC,U,PCNT,ACAD,,,,,, 07/17/2008, 11/08/2008,2018W
ANTH,227,3.0,3.0,,INTRO MEDCL ANTH,Introduction to Medical Anthropology,"An examination of health and illness, in their social and cultural contexts.",2014W,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 03/08/2014,2018W
ANTH,241,3.0,3.0,,INTRO MUSEOLOGY,Introduction to Museums and Museology,The critical study of anthropology museums as social institutions and material culture research and classification from the late 19th century to the present day.,2011W,,,UBC,U,PCNT,ACAD,,,,,, 02/03/2011, 03/09/2011,2018W
ANTH,300,3.0,6.0,d,CONTMP ANTH THRY,Contemporary Anthropological Theory,Contemporary approaches to society and culture in anthropology.,2008W,,,UBC,U,PCNT,ACAD, (ANTH 200 is recommended.),,,,, 01/31/2008, 05/09/2008,2018W
ANTH,303,3.0,6.0,d,ETHNO SPEC AREAS,Ethnography of Special Areas,A specialized study of ethnographic and theoretical problems in one area. Different culture areas or regions may be selected each term. Consult the Department for this year's offerings.,1991S,,,UBC,U,PCNT,ACAD,,,,,, 01/01/1970, 01/01/1970,2018W
ANTH,304,3.0,6.0,d,ETHNOG NW COAST,Ethnography of the Northwest Coast,Specialized study of ethnographic and theoretical problems of the region.,2005W,,,UBC,U,PCNT,ACAD,,,,,, 12/09/2004, 12/09/2004,2018W
ANTH,307,3.0,6.0,d,ETHNGRPHY KOREA,Ethnography of Korea,"An exploration of ethnographic, topical, and theoretical issues.",2013W,,,UBC,U,PCNT,ACAD,,,,,, 10/16/2012, 02/13/2013,2018W
ANTH,312,3.0,3.0,,INTR ANTH GENDER,Anthropology of Gender,"Theoretical approaches to, and the ethnographic study of, gender in cross-cultural contexts.",2018W,,,UBC,U,PCNT,ACAD,,,,,, 03/17/2018, 07/12/2018,2018W
ANTH,315,3.0,3.0,,JAPN CUL&SOCIETY,Japanese Culture and Society,"Japanese culture and society: patterns of organization, value systems, family, education, work, minorities and diversity, harmony and conflict, urban/rural differences, gender, sexuality, youth, tradition, continuity, change, and future prospects.",2010W,,,UBC,U,PCNT,ACAD,,,,,, 02/09/2010, 03/24/2010,2018W
ANTH,317,3.0,6.0,d,LINGUISTIC ANTH,Linguistic Anthropology,A survey of the ethnographic uses of language data and the techniques of linguistic analysis.,1991S,,,UBC,U,PCNT,ACAD,,,,,, 10/17/1988, 01/18/1989,2018W
ANTH,329,3.0,6.0,d,CONT 1ST NAT ISS,Contemporary First Nations Issues,"Anthropological perspectives on contemporary issues of public policy, law, and political activity, as they affect the place of First Nations people in British Columbia and Canada.",2008W,,,UBC,U,PCNT,ACAD, (ANTH 220 is recommended.),,,,, 01/31/2008, 05/09/2008,2018W
ANTH,331,3.0,6.0,d,ART&ANTHROPOLOGY,"Art, Aesthetics and Anthropology","Anthropological perspectives on art, aesthetics, and expressive culture.",2009W,,,UBC,U,PCNT,ACAD,,,,,, 07/17/2008, 11/18/2008,2018W
ANTH,332,3.0,6.0,d,ORAL TRADITION,Oral Tradition,"An ethnographic perspective on the dynamics of oral tradition in various oral and literate cultures; the characteristics and roles of oral genres including folktale, genealogy, oral history, autobiography, and myth in these societies; and the relationship between orality and literacy.",1991S,,,UBC,U,PCNT,ACAD,,,,,, 10/17/1988, 01/18/1989,2018W
ANTH,341,3.0,6.0,d,MUSE HERITG MEM,"Museums, Heritage and Memory","Museums, galleries, monuments, and other cultural institutions' relations to our perception of history and geography.",2010W,,,UBC,U,PCNT,ACAD,,,,,, 02/09/2010, 03/24/2010,2018W
ANTH,360,3.0,3.0,,INTRO ECOL ANTH,Introduction to Ecological Anthropology,"Analysis of the relations between human societies and the ecological aspects of their environment (including technology, society, and ideology).  Previously ANTH 460.",2003S,,,UBC,U,PCNT,ACAD,,,,,, 11/05/2002, 11/29/2002,2018W
ANTH,378,3.0,3.0,,ANTH OF MEDIA,Anthropology of Media,"Analysis of contemporary mass media and of the anthropological use of media (photography, film, digital audio and video, etc.).",2011W,,,UBC,U,PCNT,ACAD,,,,,, 05/03/2011, 05/12/2011,2018W
ANTH,400,3.0,6.0,d,HISTORY OF ANTH,History of Anthropology,The development of anthropological theory and practice in institutional contexts.,2005W,,,UBC,U,PCNT,ACAD,ANTH300,,,,, 12/09/2004, 12/09/2004,2018W
ANTH,404,3.0,6.0,d,ETHNO CIRC NORTH,Ethnography in Circumpolar North: Comparative Perspectives.,"An examination of relationships between indigenous people and nation states in Greenland, Canada, Alaska and Siberia, using ethnographic methods.",2002W,,,UBC,U,PCNT,ACAD,,,,Formerly ANTH 403.,, 12/12/2001, 12/12/2001,2018W
ANTH,407,3.0,3.0,,PRNCPLS FLD WORK,Principles of Field Work,"An examination of field work as the basic setting for ethnographic research. Research design; relationships with study participants, field techniques, and data analysis and presentation.",2005W,,,UBC,U,PCNT,ACAD,,,,,, 12/09/2004, 12/09/2004,2018W
ANTH,409,3.0,6.0,d,TPS APPLIED ANTH,Topics in Applied Anthropology,"Advanced study of the theory and practice of applied, action, and consultancy anthropology. Topics may include the application of anthropology to questions of aboriginal rights and title, education, medicine, development, women and development, tourism, and other social issues.",2005W,,,UBC,U,PCNT,ACAD,,,,,, 12/09/2004, 12/09/2004,2018W
ANTH,413,3.0,6.0,d,FAMILY & KINSHIP,"Relatedness: Family, Kinship, and Social Relations","A cross-cultural survey of the social and cultural bases of relatedness including changing family relationships, kinship, and social organization, based on theoretical analysis and case studies.",2017W,,,UBC,U,PCNT,ACAD,,,,,, 10/20/2016, 01/19/2017,2018W
ANTH,414,3.0,3.0,,ANTHRO GLOBLIZN,Anthropology of Globalization,"Theories on the global flow of people, commodities, images, and ideas with critical ethnographic attention to the different ways people respond to globalization.",2010W,,,UBC,U,PCNT,ACAD,,,,,, 02/09/2010, 05/12/2010,2018W
ANTH,417,3.0,6.0,d,"LANG,CULT&COGNTN","Language, Culture, and Cognition",The relationships between linguistic and cultural phenomena; how language affects normative and cognitive systems of thought and behaviour.,2002W,,,UBC,U,PCNT,ACAD,"one of ANTH100, LING200  (May be taken as co-requisites.)",,,,, 06/01/2000, 06/20/2000,2018W
ANTH,418,3.0,3.0,,ANTHRO STATISTCS,Anthropological Statistics,Applications of statistical techniques to quantitative and qualitative data in Anthropology.,2010W,,,UBC,U,PCNT,ACAD,,,,,, 02/09/2010, 03/24/2010,2018W
ANTH,421,3.0,6.0,d,ANTH PLACE&SPACE,The Anthropology of Place and Space,"An anthropological understanding of the spatial dimensions of social practice, and the relationships of space to culture, history, and power.",2013W,,,UBC,U,PCNT,ACAD,,,,,, 10/16/2012, 02/13/2013,2018W
ANTH,428,3.0,3.0,,MED TECH CUL SOC,"Medicine, Technology, Culture, and Society","A medical anthropological perspective on medical science, technology, translational research, and clinical practice, in laboratory, clinic, family, social, and cultural contexts. Topics include explanatory models of health, acute and chronic illness, disability; social and cultural dimensions genetics; clinical interaction.",2015W,,,UBC,U,PCNT,ACAD,,,,,, 01/07/2015, 01/07/2015,2018W
ANTH,433,3.0,6.0,d,DIRECTED STUDIES,Directed Studies,"General reading and/or a research undertaking, with the agreement, and under the supervision, of a Department faculty member selected by the student. No more than six credits of Directed Studies may be taken for credit toward the Major or Honours program.",1991S,,,UBC,U,PCNT,ACAD,,,,,, 12/01/1972, 01/01/1973,2018W
ANTH,435,3.0,3.0,,JPNS TEA CRMNY,"The Japanese Tea Ceremony: Ethnography of Performance, Practice, and Ritual","An exploration of Chanoyu, Japanese Tea Practice, as a culturally embedded ritual, performance, and aesthetic form, and as a way of understanding underlying elements of Japanese culture. This course has a studio component and a nominal fee may be charged.",2017S,,,UBC,U,PCNT,ACAD,,,,,, 10/20/2016, 02/01/2017,2018W
ANTH,449,6.0,12.0,d,HONOURS TUTORIAL,Honours Tutorial,Will usually require the presentation of at least one research paper.,1991S,,,UBC,U,PCNT,ACAD,,,,,, 01/01/1970, 01/01/1970,2018W
ANTH,452,3.0,3.0,,CONSERV INORGANC,Conservation of Inorganic Materials,"Conservation of inorganic materials within a museum environment; the nature of materials, mechanisms of deterioration and principles of preventive conservation. Recommended for students intending to work with cultural materials.",2009W,,,UBC,U,PCNT,ACAD, (Permission of instructor is required.),,,,, 07/17/2008, 11/18/2008,2018W
ANTH,461,3.0,3.0,,LOCAL KNOWLEDGE,Anthropological Study of Local Ecological Knowledge,Analysis of the concepts of ecological anthropology via the medium of local ecological knowledge. ANTH 360 is recommended as background.,2003S,,,UBC,U,PCNT,ACAD,,,,,, 11/05/2002, 11/29/2002,2018W
ANTH,471,3.0,3.0,,ANTH OF LAW,Anthropology of Law,"Cross-cultural study of the operation of law within contested systems of meaning, the social organization of law, and forms of consciousness of the participants in legal/justice practices.",2005W,,,UBC,U,PCNT,ACAD,,,,,, 02/01/2005, 02/01/2005,2018W
ANTH,495,3.0,6.0,d,ADV STUDIES ANTH,Advanced Studies in Anthropology,An intensive examination of selected topics in Anthropology. Consult the Department for this year's offerings.,1991S,,,UBC,U,PCNT,ACAD,,,,,, 11/01/1974, 01/01/1975,2018W
ANTH,500,6.0,6.0,,HIST ANTH THGHT,History of Anthropological Thought,"Various approaches to anthropology, from classical to contemporary.",1991S,,,UBC,G,PCNT,ACAD,,,,,, 12/01/1982, 12/01/1982,2018W
ANTH,502,2.0,18.0,d,ADV ETHN SP AREA,Advanced Ethnography of a Special Area,,1991S,,,UBC,G,PCNT,ACAD,,,,,, 03/09/1989, 05/18/1989,2018W
ANTH,506,3.0,6.0,d,CURRENT RES ANTH,Current Research in Anthropology,The relationship between current theoretical issues and research methods.,2000W,,,UBC,G,PASS,ACAD,,,,,, 11/26/1998, 11/26/1998,2018W
ANTH,516,3.0,3.0,,QUALITATIVE METH,Qualitative Methods in Anthropology,"A discussion of selected methods used to observe, describe, and interpret cultural phenomena and social organization, including participant observation, interviewing, ethnographic semantics, life histories, componential analysis, and photography. Attention will also be given to ethics in anthropological research and writing and to such analytic matters as the nature of description, conceptualization, generalization, and content analysis.",1991S,,,UBC,G,PCNT,ACAD,,,,,, 12/01/1982, 12/01/1982,2018W
ANTH,518,3.0,6.0,d,MUSEUM METHODS,Museum Methods,"Analytical approaches to the study of museums and collections. Methods of field collecting, collections research, laboratory procedures, visitor studies, social organization of museum and related cultural industries, exhibit and program evaluation techniques and the ethics of museum research and practice.",2012S,,,UBC,G,PCNT,ACAD,,,,,, 03/01/2011, 12/16/2011,2018W
ANTH,519,3.0,6.0,d,SEM MEDICAL ANTH,Seminar in Medical Anthropology,,1998S,,,UBC,G,PCNT,ACAD,,,,,, 04/24/1998, 05/20/1998,2018W
ANTH,527,3.0,3.0,,ADV ARCHEOL METH,Advanced Archaeological Methods,An intensive review of analytical approaches to the study of archaeological data and their applications. Includes research design; sampling strategies; analytical lab procedures; classification and typology; and multivariate analysis and other statistical procedures.,1991S,,,UBC,G,PCNT,ACAD,ANTH517,,,,, 12/01/1982, 12/01/1982,2018W
ANTH,540,2.0,6.0,d,ADVANCED SEMINAR,Advanced Seminar,,1991S,,,UBC,G,PCNT,ACAD,,,,,, 01/01/1970, 01/01/1970,2018W
ANTH,545,2.0,6.0,d,GRAD RSRCH SEM,Graduate Research Seminar,,1991S,,,UBC,G,PCNT,ACAD,,,,,, 01/01/1970, 01/01/1970,2018W
ANTH,549,6.0,12.0,c,MASTERS THESIS,Master's Thesis,,2003W,,,UBC,G,PASS,ACAD,,,,,, 01/30/2004, 01/30/2004,2018W
ANTH,649,0,0,,DOC DISSERTATION,Doctoral Dissertation,,2007W,,,UBC,G,PASS,ACAD,,,,,, 05/10/2007, 05/10/2007,2018W
APBI,100,3.0,3.0,,SOIL & GLBL ENVR,Soil and the Global Environment,"Soil as the base of the Earth�s ecosystem pyramid. The interconnection between soil, climate change and human activity, the carbon cycle, water resources, food security, food safety, and biofuel production. Strategies for sustaining soil resources.",2010W,,,UBC,U,PCNT,ACAD,,,,,, 11/06/2009, 03/31/2010,2018W
APBI,200,3.0,3.0,,INTR SOIL SCIE,Introduction to Soil Science,"Physical, chemical and biological properties of soils; soil formation, classification, use and conservation. There are no prerequisites for this course, but background in Biology 12, Chemistry 12, and Physics 12 (or first-year university-level) is strongly advised.",2009W,,[3-2],UBC,U,PCNT,ACAD,,,,,, 11/18/2008, 04/08/2009,2018W
APBI,210,4.0,4.0,,VASCULAR PLANTS,Vascular Plants,"A comparative study of pteridophytes, gymnosperms and angiosperms, integrating form, function, and ecology.",2009W,,[3-3],UBC,U,PCNT,ACAD,"Either (a) all of BIOL 121, BIOL 140 or (b) all of SCIE 001, BIOL 140. (Or (c) 7 credits of first-year biology.)",,BIOL210,,, 11/19/2008, 04/08/2009,2018W
APBI,222,3.0,3.0,,INTRO HORTICULTR,Introduction to Horticulture,"The cultivation of key temperate fruits, vegetables, greenhouse, ornamental and nursery crops in BC, integrated with scientific and practical aspects of their sustainable production and marketing.",2016W,,,UBC,U,PCNT,ACAD,,,,,, 02/12/2016, 04/20/2016,2018W
APBI,235,3.0,3.0,,BIOTECH AGR PROD,Biotechnology in Agricultural Food Production,"Genetics, genomics, and biotechnology concepts with applications to agricultural food production and food safety.",2010W,,[3-3],UBC,U,PCNT,ACAD,"All of BIOL 112, BIOL 121, BIOL 140.",,,,, 05/01/2010, 06/01/2010,2018W
APBI,244,3.0,3.0,,INTRO BIOMETEORO,Introduction to Biometeorology,"Basic principles and processes of climatology. Energy and water balance concepts. Weather systems and climate change, microclimate of soils, crops, forests, and animals.",2011W,,[3-2-0],UBC,U,PCNT,ACAD,,,GEOB204,,, 02/24/2011, 04/12/2011,2018W
APBI,260,6.0,6.0,,AGROECOLOGY I,Agroecology I: Introduction to principles and techniques,Biophysical and socioeconomic factors affecting systems management and production in selected agroecosystems. Credit will be granted for only one of APBI 260 or APBI 265.,2018W,,,UBC,U,PCNT,ACAD,,,,,, 10/23/2017, 02/12/2018,2018W
APBI,265,3.0,3.0,,SUSTAIN AGR&FOOD,Sustainable Agriculture and Food Systems,Principles and practices necessary to understand practical concerns of sustainable food systems.  Credit will be granted for only one of APBI 265 or APBI 260.,2013S,,[1-3-0],UBC,U,PCNT,ACAD,,,,,, 10/24/2012, 02/13/2013,2018W
APBI,290,3.0,3.0,,TOPICS APP BIOL,Introductory Topics in Applied Biology,Analysis and interpretation of current issues in applied biology. Topics will vary from year to year.,2017W,,,UBC,U,PCNT,ACAD,,,,,, 11/05/2016, 01/18/2017,2018W
APBI,311,3.0,3.0,,"CV, RSP & OS PHY","Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology","Cardiovascular, respiratory and osmoregulatory physiology of vertebrates.",2017W,,,UBC,U,PCNT,ACAD,"BIOL 204 and one of BIOL 260, BIOL 361. (And 3rd year standing.)",,BIOL364,,, 03/23/2017, 04/12/2017,2018W
APBI,312,3.0,3.0,,REPRO & DIG PHYS,Reproductive and Digestive Physiology,"Reproductive and digestive physiology, and current technologies applied to these systems in domestic and wild animals.",2017W,,,UBC,U,PCNT,ACAD,"One of BIOL 204, BIOL 260. (3rd year standing.)",,,,, 03/23/2017, 04/12/2017,2018W
APBI,314,3.0,3.0,,ANIMALS&SOCIETY,Animals and Society,"Contemporary use of animals for food production, companionship, recreation and science; social and ethical issues concerning human impacts on animals; animals in human culture; protection of animals by society and the law.",2009W,,,UBC,U,PCNT,ACAD, (At least third-year standing in any faculty.),,,,, 11/18/2008, 04/08/2009,2018W
APBI,315,3.0,3.0,,AN WLFR&ETHC A U,Animal Welfare and the Ethics of Animal Use,"Scientific assessment of animal well-being, ethical concepts applied to animal use, and animal welfare issues arising in agriculture, biomedical research and other areas. Credit will be granted for only one of APBI 315, ANSC 515, or AANB 515.",2009W,,[1-0-3],UBC,U,PCNT,ACAD, (At least third-year standing in any faculty.),,,,, 11/18/2008, 04/08/2009,2018W
